"","Date","Open","High","Low","Close","Volume","Company","shifted"
"92",2021-07-23,147.550003,148.720001,146.919998,148.559998,71447400,"Apple",148.990005
"93",2021-07-26,148.270004,149.830002,147.699997,148.990005,72434100,"Apple",146.770004
"94",2021-07-27,149.119995,149.210007,145.550003,146.770004,104818600,"Apple",144.979996
"95",2021-07-28,144.809998,146.970001,142.539993,144.979996,118931200,"Apple",145.639999
"96",2021-07-29,144.690002,146.550003,144.580002,145.639999,56699500,"Apple",145.860001
"97",2021-07-30,144.380005,146.330002,144.110001,145.860001,70382000,"Apple",145.520004
"98",2021-08-02,146.360001,146.949997,145.25,145.520004,62880000,"Apple",147.360001
"99",2021-08-03,145.809998,148.039993,145.179993,147.360001,64786600,"Apple",146.949997
"100",2021-08-04,147.270004,147.789993,146.279999,146.949997,56368300,"Apple",147.059998
"101",2021-08-05,146.979996,147.839996,146.169998,147.059998,46397700,"Apple",146.139999
"102",2021-08-06,146.350006,147.110001,145.630005,146.139999,54067400,"Apple",146.089996
"103",2021-08-09,146.199997,146.699997,145.520004,146.089996,48908700,"Apple",145.600006
"104",2021-08-10,146.440002,147.710007,145.300003,145.600006,69023100,"Apple",145.860001
"105",2021-08-11,146.050003,146.720001,145.529999,145.860001,48493500,"Apple",148.889999
"106",2021-08-12,146.190002,149.050003,145.839996,148.889999,72282600,"Apple",149.100006
"107",2021-08-13,148.970001,149.440002,148.270004,149.100006,59318800,"Apple",151.119995
"108",2021-08-16,148.539993,151.190002,146.470001,151.119995,103296000,"Apple",150.190002
"109",2021-08-17,150.229996,151.679993,149.089996,150.190002,92229700,"Apple",146.360001
"110",2021-08-18,149.800003,150.720001,146.149994,146.360001,86326000,"Apple",146.699997
"111",2021-08-19,145.029999,148,144.5,146.699997,86960300,"Apple",148.190002
"112",2021-08-20,147.440002,148.5,146.779999,148.190002,59947400,"Apple",149.710007
"113",2021-08-23,148.309998,150.190002,147.889999,149.710007,60131800,"Apple",149.619995
"114",2021-08-24,149.449997,150.860001,149.149994,149.619995,48606400,"Apple",148.360001
"115",2021-08-25,149.809998,150.320007,147.800003,148.360001,58991300,"Apple",147.539993
"116",2021-08-26,148.350006,149.119995,147.509995,147.539993,48597200,"Apple",148.600006
"117",2021-08-27,147.479996,148.75,146.830002,148.600006,55721500,"Apple",153.119995
"118",2021-08-30,149,153.490005,148.610001,153.119995,90956700,"Apple",151.830002
"119",2021-08-31,152.660004,152.800003,151.289993,151.830002,86453100,"Apple",152.509995
"120",2021-09-01,152.830002,154.979996,152.339996,152.509995,80313700,"Apple",153.649994
"121",2021-09-02,153.869995,154.720001,152.399994,153.649994,71115500,"Apple",154.300003
"122",2021-09-03,153.759995,154.630005,153.089996,154.300003,57808700,"Apple",156.690002
"123",2021-09-07,154.970001,157.259995,154.389999,156.690002,82278300,"Apple",155.110001
"124",2021-09-08,156.979996,157.039993,153.979996,155.110001,74420200,"Apple",154.070007
"125",2021-09-09,155.490005,156.110001,153.949997,154.070007,57305700,"Apple",148.970001
"126",2021-09-10,155,155.479996,148.699997,148.970001,140646400,"Apple",149.550003
"127",2021-09-13,150.630005,151.419998,148.75,149.550003,102404300,"Apple",148.119995
"128",2021-09-14,150.350006,151.070007,146.910004,148.119995,109296300,"Apple",149.029999
"129",2021-09-15,148.559998,149.440002,146.369995,149.029999,83281300,"Apple",148.789993
"130",2021-09-16,148.440002,148.970001,147.220001,148.789993,68034100,"Apple",146.059998
